GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
ESO116-G012,A,1.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves, negligible non-circular motions, and kinematics not asymmetric despite slight optical asymmetry; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves, negligible non-circular motions, and kinematics not asymmetric despite slight optical asymmetry; accept as regular-kinematics A evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://academic.oup.com/mnras/article/351/3/903/1052798; source2=https://adsabs.harvard.edu/pdf/2004MNRAS.351..903G
ESO444-G084,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
ESO563-G021,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F561-1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F563-1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F563-V1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F563-V2,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F565-V2,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F567-2,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F568-1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F568-3,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F568-V1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F571-8,B,0.5,Low,v05_batch4_reviewer1_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B. | v05_batch4_reviewer2_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.5 evidence cache: no source-locked external proxy evidence recorded before residual audit
F571-V1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F574-1,B,0.5,Low,v05_batch4_reviewer1_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B. | v05_batch4_reviewer2_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.5 evidence cache: no source-locked external proxy evidence recorded before residual audit
F574-2,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F579-V1,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
F583-1,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
F583-4,B,0.5,Low,v05_batch4_reviewer1_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B. | v05_batch4_reviewer2_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.5 evidence cache: no source-locked external proxy evidence recorded before residual audit
IC2574,C,0.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Deep M81-group HI survey reports an extended HI envelope connected to HIJASS J1021+68 as small clouds, interpreted as stripped from or falling onto IC2574; accept as direct disturbed-HI C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Deep M81-group HI survey reports an extended HI envelope connected to HIJASS J1021+68 as small clouds, interpreted as stripped from or falling onto IC2574; accept as direct disturbed-HI C evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=https://academic.oup.com/mnras/article/493/2/2618/5734519; source2=https://arxiv.org/abs/2002.03813
IC4202,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
KK98-251,B,0.5,Low,v05_batch4_reviewer1_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B. | v05_batch4_reviewer2_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.5 evidence cache: no source-locked external proxy evidence recorded before residual audit
NGC0024,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Karachentsev+2013 environment proxy; Theta1=-1.0; Theta5=-0.8; Thetaj=0.42; main_disturber=NGC0045; no TPG residual fields used
NGC0055,C,0.0,High,"v05_blocker_resolution_reviewer1_codex_source_audit: Sensitive HI observations report a distorted HI disk on all scales, strong asymmetry, streaming motions, outer warp, clumps and spurs; accept as direct disturbed-HI C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Sensitive HI observations report a distorted HI disk on all scales, strong asymmetry, streaming motions, outer warp, clumps and spurs; accept as direct disturbed-HI C evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=https://academic.oup.com/mnras/article/434/4/3511/964482; source2=https://arxiv.org/abs/1307.2962
NGC0100,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
NGC0247,B,0.5,Low,"v05_batch4_reviewer1_codex_source_audit: Karachentsev+2013 provides group-environment/tidal-index context (Thetaj=1.78; main_disturber=NGC0253), but environment alone is indirect and does not meet direct A or C evidence rules; default to B. | v05_batch4_reviewer2_codex_source_audit: Karachentsev+2013 provides group-environment/tidal-index context (Thetaj=1.78; main_disturber=NGC0253), but environment alone is indirect and does not meet direct A or C evidence rules; default to B.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices
NGC0289,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
NGC0300,C,0.0,Medium,"NGC300 literature reports a disturbed/warped outer HI morphology and twisted velocity-field appearance; direct external gas-disk disturbance evidence, not residual-derived.",residual-blind external proxy review v0.2,true,R0 source-level literature seed; no TPG residual fields used; reviewer=codex_literature_seed_review_v03; reviewed_date=2026-05-12; source1=https://academic.oup.com/mnras/article/410/4/2217/1004372; source2=https://arxiv.org/abs/1009.0317
NGC0801,B,0.5,Low,v05_batch4_reviewer1_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B. | v05_batch4_reviewer2_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.5 evidence cache: no source-locked external proxy evidence recorded before residual audit
NGC0891,C,0.0,Medium,"NGC891 literature identifies a lopsided edge-on galaxy with nearby companion UGC1807 and favors a flyby origin for the lopsidedness; direct external lopsided/companion evidence, not residual-derived.",residual-blind external proxy review v0.2,true,R0 source-level literature seed; no TPG residual fields used; reviewer=codex_literature_seed_review_v03; reviewed_date=2026-05-12; source1=https://arxiv.org/abs/0805.1104
NGC1003,B,0.5,Low,RC3 morphology proxy records no direct bar/warp disturbance and provides no direct regular-kinematic evidence; context-only row defaults to B.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR VII/155 RC3 morphology family proxy"
NGC1090,B,0.5,Low,"v05_batch3_reviewer1_codex_source_audit: RC3 morphology context (SBT4) provides bar/intermediate RC3 family proxy present, but the protocol notes this proxy is not a direct warp flag and gives no direct regular-kinematic evidence; default to B. | v05_batch3_reviewer2_codex_source_audit: RC3 morphology context (SBT4) provides bar/intermediate RC3 family proxy present, but the protocol notes this proxy is not a direct warp flag and gives no direct regular-kinematic evidence; default to B.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR VII/155 RC3 morphology family proxy
NGC1705,C,0.0,High,"v05_blocker_resolution_reviewer1_codex_source_audit: HI synthesis observations describe NGC1705 as kinematically lopsided, with disturbed HI in a windy starburst dwarf; accept as direct kinematic disturbance C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI synthesis observations describe NGC1705 as kinematically lopsided, with disturbed HI in a windy starburst dwarf; accept as direct kinematic disturbance C evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=https://academic.oup.com/mnras/article/429/3/2550/1009631; source2=https://arxiv.org/abs/astro-ph/9806261
NGC2366,C,0.0,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: HI/Halpha kinematic work reports kinematic geometry differing from optical/HI morphology and disturbed HI behaviour; accept as direct kinematic disturbance C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI/Halpha kinematic work reports kinematic geometry differing from optical/HI morphology and disturbed HI behaviour; accept as direct kinematic disturbance C evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=https://arxiv.org/abs/astro-ph/0104091; source2=https://arxiv.org/abs/0811.2724
NGC2403,A,1.0,Medium,"External literature uses NGC2403 as an isolated, undisturbed disk comparison system; this is direct calm-disk control evidence for A.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://arxiv.org/abs/1609.02106; source2=https://experts.umn.edu/en/publications/isolating-the-young-stellar-population-in-the-outer-disk-of-ngc-3/"
NGC2683,A,1.0,Medium,multiple external calm proxies present: bar/warp flag; near-neighbor density; group environment,residual-blind external proxy manifest v0.2,true,"RC3 type=.SAT3..; bar/intermediate-bar proxy only, not a warp flag.; Karachentsev+2013 environment proxy; Theta1=0.0; Theta5=0.2; Thetaj=-1.30; main_disturber=KK70; no TPG residual fields used; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
NGC2841,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SAR3*.; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC2903,B,0.5,Low,v05_batch3_reviewer1_codex_source_audit: RC3 bar/intermediate context and Karachentsev environment are not direct warp/tidal or regular-kinematic evidence; keep B. | v05_batch3_reviewer2_codex_source_audit: RC3 bar/intermediate context and Karachentsev environment are not direct warp/tidal or regular-kinematic evidence; keep B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=mixed; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices
NGC2915,C,0.0,Medium,"NGC2915 literature reports an extended HI disk with spiral structure and later work describes a disordered gaseous environment; direct external gas-disk disturbance evidence, not residual-derived.",residual-blind external proxy review v0.2,true,R0 source-level literature seed; no TPG residual fields used; reviewer=codex_literature_seed_review_v03; reviewed_date=2026-05-12; source1=https://arxiv.org/abs/astro-ph/9601191; source2=https://arxiv.org/abs/2210.06485
NGC2955,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=PSAR3..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC2976,C,0.0,High,v05_blocker_resolution_reviewer1_codex_source_audit: M81-group literature reports tidal interaction evidence and HI tail/filament context involving NGC2976; accept as direct tidal/HI disturbance C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: M81-group literature reports tidal interaction evidence and HI tail/filament context involving NGC2976; accept as direct tidal/HI disturbance C evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=tidal; source1=https://academic.oup.com/mnras/article/486/1/504/5374532; source2=https://www.cambridge.org/core/journals/symposium-international-union/article/tidal-interactions-in-m81-group/0A864ABE20204DAB32544636F81492CE
NGC2998,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXT5..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3109,C,0.0,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: External HI work detects a substantial HI warp in NGC3109 and links it to a likely past encounter with Antlia; accept as direct warp/encounter C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External HI work detects a substantial HI warp in NGC3109 and links it to a likely past encounter with Antlia; accept as direct warp/encounter C evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=warp; source1=https://arxiv.org/abs/astro-ph/0107474; source2=https://research.monash.edu/en/publications/on-the-neutral-gas-content-and-environment-of-ngc-3109-and-the-an
NGC3198,A,1.0,Medium,v05_batch1_reviewer1_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.14 and low velocity-field asymmetry Avel=0.014; bar proxy is not treated as a warp flag. | v05_batch1_reviewer2_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.14 and low velocity-field asymmetry Avel=0.014; bar proxy is not treated as a warp flag.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/MNRAS/493/5089 Reynolds+2020 Amap; source2=VizieR J/MNRAS/493/5089 Reynolds+2020 Avel; source3=VizieR J/MNRAS/493/5089 Reynolds+2020 logrho
NGC3521,C,0.0,Medium,multiple external disturbance proxies present: bar/warp flag; group environment,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXT4..; bar/intermediate-bar proxy only, not a warp flag.; Karachentsev+2013 environment proxy; Theta1=2.2; Theta5=2.2; Thetaj=-0.36; main_disturber=NGC3521sat; no TPG residual fields used; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
NGC3726,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXR5..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3741,C,0.0,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: External HI observations report an extremely extended HI disk that is strongly warped; accept as direct warp C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External HI observations report an extremely extended HI disk that is strongly warped; accept as direct warp C evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=warp; source1=https://academic.oup.com/mnras/article/375/1/199/986751; source2=https://arxiv.org/abs/astro-ph/0611355
NGC3769,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBR3*.; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3877,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SAS5*.; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3893,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXT5*.; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3917,A,1.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Ursa Major HI synthesis work reports a well-defined symmetric rotation curve, and later work retains it in a reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Ursa Major HI synthesis work reports a well-defined symmetric rotation curve, and later work retains it in a reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://www.aanda.org/articles/aa/pdf/2001/18/aa10469.pdf; source2=https://academic.oup.com/mnras/article/507/1/565/6335498
NGC3949,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SAS4*.; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3953,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBR4..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC3972,A,1.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Published HI work reports a well-defined velocity gradient dominated by regular rotation in the inner HI disk, with later reliable-rotation subset support; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Published HI work reports a well-defined velocity gradient dominated by regular rotation in the inner HI disk, with later reliable-rotation subset support; accept as regular-kinematics A evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://www.aanda.org/articles/aa/full_html/2016/08/aa28282-16/aa28282-16.html; source2=https://academic.oup.com/mnras/article/507/1/565/6335498
NGC3992,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBT4..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4010,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBS7*/; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4013,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
NGC4051,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXT4..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
